strain	aligned_row	date	conc	embryoID	channel	intensity	normalized_intensity
wNT002	11	220914	0uM	09	ch2	11479.4355	2.03389982459511
wNT002	12	220914	0uM	09	ch2	10638.3525	1.88487868447285
wNT002	13	220914	0uM	09	ch2	9941.5918	1.76142823557972
wNT002	14	220914	0uM	09	ch2	9534.6377	1.68932504961659
wNT002	15	220914	0uM	09	ch2	9328.7822	1.65285204836649
wNT002	16	220914	0uM	09	ch2	8844.668	1.5670778143927
wNT002	17	220914	0uM	09	ch2	8038.8862	1.42431125921828
wNT002	18	220914	0uM	09	ch2	7255.3433	1.2854849408969
wNT002	19	220914	0uM	09	ch2	6729.7388	1.19235955155555
wNT002	20	220914	0uM	09	ch2	6512.2954	1.15383343299168
wNT002	21	220914	0uM	09	ch2	6444.8359	1.141881114847
wNT002	22	220914	0uM	09	ch2	6421.8135	1.13780205927656
wNT002	23	220914	0uM	09	ch2	6316.0674	1.11906620991867
wNT002	24	220914	0uM	09	ch2	6179.7661	1.09491666091323
wNT002	25	220914	0uM	09	ch2	6043.6738	1.07080414204427
wNT002	26	220914	0uM	09	ch2	5980.0684	1.05953468442126
wNT002	27	220914	0uM	09	ch2	6084.8237	1.07809498612734
wNT002	28	220914	0uM	09	ch2	6152.2358	1.09003890604967
wNT002	29	220914	0uM	09	ch2	6065.6685	1.07470111210626
wNT002	30	220914	0uM	09	ch2	5858.9424	1.03807385996226
wNT002	31	220914	0uM	09	ch2	5692.3877	1.00856408353506
wNT002	32	220914	0uM	09	ch2	5643.002	0.999814039461247
wNT002	33	220914	0uM	09	ch2	5674.4819	1.00539157531554
wNT002	34	220914	0uM	09	ch2	5692.2612	1.00854167055771
wNT002	35	220914	0uM	09	ch2	5630.7622	0.99764542001362
wNT002	36	220914	0uM	09	ch2	5560.4507	0.985187791106953
wNT002	37	220914	0uM	09	ch2	5593.6143	0.99106364103206
wNT002	38	220914	0uM	09	ch2	5720.2065	1.01349295416119
wNT002	39	220914	0uM	09	ch2	5831.8008	1.03326497406546
wNT002	40	220914	0uM	09	ch2	5779.4463	1.02398892487586
wNT002	41	220914	0uM	09	ch2	5712.6523	1.01215451848158
