Image ID,set 3_mRNA total molecules,erm 1_mRNA total molecules,Image_ID,subdirectory
240131_L4440_RNAi_09,583,2828,total_mRNA_counts_240131_L4440_RNAi_09.csv,L4440
240106_LP306_UNC-116_RNAi_01,1694,2316,total_mRNA_counts_240106_LP306_UNC-116_RNAi_01.csv,UNC-116
240106_LP306_UNC-116_RNAi_02,1097,4011,total_mRNA_counts_240106_LP306_UNC-116_RNAi_02.csv,UNC-116
240106_LP306_UNC-116_RNAi_03,1070,3948,total_mRNA_counts_240106_LP306_UNC-116_RNAi_03.csv,UNC-116
240106_LP306_UNC-116_RNAi_04,1511,3967,total_mRNA_counts_240106_LP306_UNC-116_RNAi_04.csv,UNC-116
240106_LP306_UNC-116_RNAi_06,614,2918,total_mRNA_counts_240106_LP306_UNC-116_RNAi_06.csv,UNC-116
240106_LP306_UNC-116_RNAi_08,1386,4235,total_mRNA_counts_240106_LP306_UNC-116_RNAi_08.csv,UNC-116
240106_LP306_UNC-116_RNAi_10,951,2742,total_mRNA_counts_240106_LP306_UNC-116_RNAi_10.csv,UNC-116
240106_LP306_UNC-116_RNAi_11,1361,3349,total_mRNA_counts_240106_LP306_UNC-116_RNAi_11.csv,UNC-116
240106_LP306_UNC-116_RNAi_12,1823,3153,total_mRNA_counts_240106_LP306_UNC-116_RNAi_12.csv,UNC-116
240120_LP306_UNC-116_01,1266,3404,total_mRNA_counts_240120_LP306_UNC-116_01.csv,UNC-116
240120_LP306_UNC-116_02,1485,3411,total_mRNA_counts_240120_LP306_UNC-116_02.csv,UNC-116
240120_LP306_UNC-116_06,1022,3532,total_mRNA_counts_240120_LP306_UNC-116_06.csv,UNC-116
240120_LP306_UNC-116_07,983,3310,total_mRNA_counts_240120_LP306_UNC-116_07.csv,UNC-116
240120_LP306_UNC-116_08,855,3223,total_mRNA_counts_240120_LP306_UNC-116_08.csv,UNC-116
240120_LP306_UNC-116_09,1373,3371,total_mRNA_counts_240120_LP306_UNC-116_09.csv,UNC-116
240120_LP306_UNC-116_10,1135,3750,total_mRNA_counts_240120_LP306_UNC-116_10.csv,UNC-116
240120_LP306_UNC-116_11,1194,3854,total_mRNA_counts_240120_LP306_UNC-116_11.csv,UNC-116
240120_LP306_UNC-116_13,659,2926,total_mRNA_counts_240120_LP306_UNC-116_13.csv,UNC-116
240120_LP306_UNC-116_15,1205,4064,total_mRNA_counts_240120_LP306_UNC-116_15.csv,UNC-116
240120_LP306_UNC-116_16,3215,3536,total_mRNA_counts_240120_LP306_UNC-116_16.csv,UNC-116
240120_LP306_UNC-116_17,925,3971,total_mRNA_counts_240120_LP306_UNC-116_17.csv,UNC-116
240123_unc116_RNAi_01,2834,3046,total_mRNA_counts_240123_unc116_RNAi_01.csv,UNC-116
240123_unc116_RNAi_02,1305,4187,total_mRNA_counts_240123_unc116_RNAi_02.csv,UNC-116
240123_unc116_RNAi_03,1200,4667,total_mRNA_counts_240123_unc116_RNAi_03.csv,UNC-116
240123_unc116_RNAi_04,1251,4944,total_mRNA_counts_240123_unc116_RNAi_04.csv,UNC-116
240123_unc116_RNAi_05,1131,3915,total_mRNA_counts_240123_unc116_RNAi_05.csv,UNC-116
240123_unc116_RNAi_06,1234,4090,total_mRNA_counts_240123_unc116_RNAi_06.csv,UNC-116
240123_unc116_RNAi_07,1181,3724,total_mRNA_counts_240123_unc116_RNAi_07.csv,UNC-116
240123_unc116_RNAi_08,1099,4294,total_mRNA_counts_240123_unc116_RNAi_08.csv,UNC-116
240123_unc116_RNAi_09,1431,4305,total_mRNA_counts_240123_unc116_RNAi_09.csv,UNC-116
240123_unc116_RNAi_10,1407,5131,total_mRNA_counts_240123_unc116_RNAi_10.csv,UNC-116
240123_unc116_RNAi_11,1258,4048,total_mRNA_counts_240123_unc116_RNAi_11.csv,UNC-116
240123_unc116_RNAi_12,967,3838,total_mRNA_counts_240123_unc116_RNAi_12.csv,UNC-116
